P000628,71.0384,81.2262
P000629,54.9605,88.9751
P000630,70.8500,49.3075
P000631,36.3258,73.0415
P000632,80.3653,55.9125
P000633,54.7360,17.0257
P000634,94.9943,95.6674
P000635,94.8259,97.6761
P000636,69.2993,93.5528
P000637,64.0558,68.5399
P000638,19.2283,0.7025
P000639,0.2058,85.0221
P000640,90.9630,29.6912
P000641,88.6168,74.7722
P000642,37.1415,7.7254
P000643,48.3397,14.0231
P000644,99.2824,31.7998
P000645,13.7955,23.5025
P000646,88.8630,2.2614
P000647,93.5927,6.9961
P000648,86.2516,52.1800
P000649,70.5650,66.5431
P000650,7.1886,44.3003
P000651,4.7962,21.0173
P000652,91.0918,54.8439
P000653,97.6233,71.4761
P000654,20.7700,96.8771
P000655,79.0338,91.7459
P000656,95.8202,30.7468
P000657,79.1087,44.5391
P000658,52.0560,5.3697
P000659,71.8583,39.4676
P000660,99.7434,88.0515
P000661,69.4486,72.6905
P000662,58.7651,85.5411
P000663,14.7603,87.7817
P000664,4.5368,28.9477
P000665,20.6869,9.2486
P000666,17.2166,55.7823
P000667,90.1978,58.3828
P000668,72.5753,87.2068
P000669,60.6489,25.9255
P000670,54.7428,28.2253
P000671,53.9580,28.2400
P000672,89.0020,39.3429
P000673,7.6914,25.1691
P000674,29.0139,0.4324
P000675,51.7122,79.4252
P000676,20.4863,79.0170
P000677,65.7696,16.6246
P000678,90.3267,47.4491
P000679,34.6479,98.6370
P000680,93.3552,1.8240
P000681,66.0155,82.0503
P000682,20.8552,2.5501
P000683,4.7889,30.9526
P000684,8.6539,49.6167
P000685,36.2412,83.6610
P000686,7.5540,81.8293
P000687,87.1785,95.0699
P000688,21.6966,8.9322
P000689,24.2208,78.0668
P000690,88.1599,65.0169
P000691,84.7398,21.2590
P000692,40.2471,90.2874
P000693,43.6687,33.9389
P000694,69.7756,54.2883
P000695,22.6270,98.9168
P000696,74.4429,63.6440
P000697,4.1522,47.0894
P000698,93.7931,67.2700
P000699,80.4732,87.6291
P000700,13.2715,1.5539
P000701,4.9324,66.2219
P000702,9.6633,38.8902
P000703,38.0469,75.3969
P000704,76.6810,7.9782
P000705,12.6590,44.7241
P000706,74.9045,53.5895
P000707,67.5347,83.3848
P000708,62.5622,1.0067
P000709,44.9574,61.7780
P000710,71.0490,58.5206
P000711,8.5741,31.8186
P000712,95.5561,36.4787
P000713,27.2527,64.9118
P000714,42.3177,15.6547
P000715,47.1654,14.0162
P000716,91.4069,63.0298
P000717,28.1046,68.0256
P000718,83.0799,25.8729
P000719,78.7157,34.3356
P000720,89.4400,59.6502
P000721,71.2232,61.6885
P000722,5.7569,59.4794
P000723,63.2573,29.0110
P000724,8.4150,4.2113
P000725,6.2953,39.3669
P000726,3.8046,53.2376
P000727,68.1695,78.6447
P000728,58.6848,39.0851
P000729,30.0824,51.7441
P000730,69.0793,13.9015
P000731,46.4501,17.1111
P000732,44.2666,98.7008
P000733,90.4516,45.1946
P000734,50.5090,90.3211
P000735,5.7770,71.9422
P000736,77.2431,17.3322
P000737,54.3758,98.2305
P000738,83.3796,71.2982
P000739,4.3812,35.8040
P000740,39.7904,21.0297
P000741,96.2274,6.0017
P000742,48.5157,35.9662
P000743,61.7077,57.7190
P000744,84.4116,97.8235
P000745,45.6467,67.3218
P000746,80.5553,92.6238
P000747,75.0613,59.9482
P000748,53.5262,82.8859
P000749,50.8066,55.9939
P000750,78.6124,59.3811
